timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727705077.4322538,3.084637461026063e-08,5.961603761928742e-07,0.9987673323846318,0.049636838748359,-7.062185391134433e-07,-4.9917017946562116e-08,-0.041053792194011056,-0.0012964086569142105,-1.924278818596487,9.800002438723697
1727705077.4487464,3.068539278228954e-08,5.857740158867675e-07,0.9987378657506961,0.05022624329372477,-6.851776033588614e-07,-4.5785072920382036e-08,-0.03850158880053014,-0.003735819040105814,-1.9239685880937363,9.800002394197366
1727705077.498984,3.050282390677914e-08,5.756982467031964e-07,0.9987099306941265,0.05077867990210605,-6.647608032344127e-07,-4.1962603178747145e-08,-0.036077497680837234,-0.0058669711528853375,-1.9236658825584911,9.800002351019051
1727705077.7569158,3.0230428156765884e-08,5.627310206619107e-07,0.9986750043239216,0.051461011827375946,-6.384784625167815e-07,-3.731312230751505e-08,-0.03303869661386941,-0.008269830687161526,-1.9232733515832507,9.800002295439686
1727705077.7703161,3.00101259314677e-08,5.533889851331458e-07,0.9986506001079603,0.05193244557791815,-6.105027506798872e-07,-3.396404920698906e-08,-0.030500625774230024,-0.015358648116874617,-1.8989513463811254,9.800002404655158
1727705077.7998233,3.030396107101156e-08,5.526369227719859e-07,0.99861218590664,0.05266594875681879,7.154219142252305e-08,-5.675363988255854e-08,-0.05237658699087684,0.025609939189489745,-0.025962849661558002,9.800001286994695
1727705077.8407662,3.115517836957387e-08,5.541926265298834e-07,0.9985134975480051,0.054505001735083713,7.900499124726938e-08,-1.287326601406851e-07,-0.13066172758199943,0.3546258740312459,0.045850391938010424,9.799999931203477
1727705077.9102564,3.248720079622103e-08,5.55304526138352e-07,0.998364096964748,0.057176305332311994,8.097873217023042e-08,-2.0985088519017253e-07,-0.20026038016626851,0.291818711083329,0.04413664056296371,9.800000017739698
1727705077.9440615,3.427082898487971e-08,5.563491370319281e-07,0.998181530408181,0.06027961804515958,7.54258871841312e-08,-2.3252603036757416e-07,-0.20807531257179748,0.007081918060662818,-0.005148270000693876,9.799999988039804
1727705078.191778,3.6858066945449017e-08,5.576441395744104e-07,0.9978781215071031,0.06510955856971257,7.115304276098112e-08,-2.9438744298751793e-07,-0.27528561907645355,0.30851077408861965,0.025823793319424544,9.799999955358661
1727705078.2108357,3.941730635693771e-08,5.585989134114935e-07,0.997560001060319,0.06981435586054746,7.54064603027475e-08,-3.6229740568678577e-07,-0.32721604374993296,0.12158668914635981,0.01008192259741693,9.799999903522156
1727705078.2403724,4.2279514107375206e-08,5.594650577289422e-07,0.9972012811360926,0.07476366029175391,7.035084173404931e-08,-3.730178650753581e-07,-0.3312476882881157,0.005386351002081649,-0.014870825624916139,9.80000000061927
1727705078.3275416,4.516515800149193e-08,5.602802749160074e-07,0.9968174017053567,0.07971867821950646,6.823169033063206e-08,-3.739107451289607e-07,-0.33133388222889015,0.0022461583197557213,-0.015350567764537897,9.80000000362866
1727705078.370345,4.930629219737012e-08,5.645580814969154e-07,0.9962704899831687,0.08628505541735432,7.202923789212221e-07,-3.718831884932039e-07,-0.3238185755138301,-0.10760638584290418,1.7860450788523945,9.800010873546404
