timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1727705041.1034784,0.00445515568358875,-0.00256899955464932,0.0,0.0,0.0,-0.2643806764210718,0.9644184039798995,0.05458017468146836,0.0,0.0,0.0,0.0,-0.801619933809806
1727705041.222707,0.007706588561429081,-0.0045807556515780135,0.0,0.0,0.0,-0.28254296469468554,0.9592546445556246,0.07449881375612408,0.0,0.0,0.0,0.0,-0.7537837086844174
1727705041.2735,0.01125280777805861,-0.006963298377884238,0.0,0.0,0.0,-0.2999455349100759,0.9539563281867303,0.080961879556843,0.0,0.0,0.0,0.0,-0.7414773396538001
1727705041.4711623,0.015462344024539353,-0.010013932991795683,0.0,0.0,0.0,-0.3154803191425569,0.9489321199294029,0.09471416504460288,0.0,0.0,0.0,0.0,-0.6903744324275929
1727705041.52249,0.020095764990474718,-0.013587295216537598,0.0,0.0,0.0,-0.3296926831372812,0.9440883087326845,0.1105043439960024,0.0,0.0,0.0,0.0,-0.6268495994295359
1727705041.7855043,0.024689606914889136,-0.017346216999926972,0.0,0.0,0.0,-0.34199977037087015,0.9397000356849372,0.11787398008046071,0.0,0.0,0.0,0.0,-0.5616278095258815
1727705041.8318603,0.0293845909235614,-0.021382621667098575,0.0,0.0,0.0,-0.35327534686166606,0.935519390124956,0.12127606620512892,0.0,0.0,0.0,0.0,-0.5018371954780211
1727705041.9175563,0.03235095121568729,-0.024046756965583137,0.0,0.0,0.0,-0.36429052246589744,0.9312853565054717,0.10178890861147134,0.0,0.0,0.0,0.0,-0.47653386538973797
1727705041.9737453,0.03366583308421937,-0.02529025804776512,0.0,0.0,0.0,-0.37657835259957784,0.9263847712227291,0.057969847532475936,0.0,0.0,0.0,0.0,-0.5006012573577604
1727705042.1897147,0.034205283893845286,-0.025827823661749266,0.0,0.0,0.0,-0.39058075294060923,0.920568669590893,0.02571396223900485,0.0,0.0,0.0,0.0,-0.5678301655110991
